name,profile,p[1]_q25,p[1]_q50,p[1]_q75,p[2]_q25,p[2]_q50,p[2]_q75,p[3]_q25,p[3]_q50,p[3]_q75,p[4]_q25,p[4]_q50,p[4]_q75,p[5]_q25,p[5]_q50,p[5]_q75,p[6]_q25,p[6]_q50,p[6]_q75,p[7]_q25,p[7]_q50,p[7]_q75,p[8]_q25,p[8]_q50,p[8]_q75,p[9]_q25,p[9]_q50,p[9]_q75,p[10]_q25,p[10]_q50,p[10]_q75,RE_q25,RE_q50,RE_q75
PSJ0949+4208,SIS,1.291386,1.292693,1.2942585,0.001721087,0.003208472,0.004744294,0.0004376052,0.002301097,0.00424732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.291286,1.292593,1.2941585
PSJ1606-2333,POW+shear,0.6443848,0.651408,0.6566741,-0.05592394,-0.05391982,-0.05250968,0.003522396,0.007207246,0.00992134775,0.5563481,0.57742955,0.6074234,13.62053,14.10764,14.66379,0.0661753,0.073381305,0.08578534,-85.15436,83.88898499999999,87.04845,0.0,0.0,0.0,0.0,0.0,0.0,1.252789,1.268444,1.279255,0.7244271,0.7266407,0.72976535
PSJ2305+3714,SIE,1.152187,1.158962,1.165084,-0.002164213,-0.0001774902,0.001785211,-0.002108531,1.3443865e-05,0.002065202,0.266338625,0.2775795,0.290371,-10.39742,-7.905081,-5.0330035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.172668,1.181669,1.190551
PSS2322+1944,SIS,0.7458263,0.74718795,0.7486568499999999,-0.00783133175,-0.006523355,-0.00526992,-0.004153781,-0.0020487725,7.153031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.745726,0.74708765,0.74855715
Q0142-100,SIE,1.12411575,1.134457,1.141404,-0.002077076,-0.00013608185,0.0020253415,-0.001670781,-1.3656272e-05,0.001998187,0.2116524,0.2357117,0.2618315,-81.78335,-76.98419,-70.75488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.135971,1.149837,1.160969
Q0957+561,SIE,2.091804,2.196586,2.29522,-0.002179812,-9.3299705e-05,0.001967822,-0.002068454,6.516867e-05,0.002124607,0.6608597,0.6961649,0.7311987,-70.0322875,-68.96016,-67.7910625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.66493,2.7035105,2.7411805
Q1017-207,SIS,0.422202,0.42359035,0.424996125,-0.002116562,-3.0304735e-05,0.001918778,0.001635023,0.002872162,0.00420827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.422102,0.42349035,0.424896125
Q1355-2257,SIE,0.6058312,0.61257945,0.618340775,-0.002286729,-0.0003839822,0.001566219,-0.001696128,0.0001901474,0.002051882,0.128877175,0.14042605,0.1564868,49.11298,61.01947,71.89674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6081466,0.6145791,0.6211322
Q2138-431,SIE,1.838797,1.861548,1.88911925,-0.001882678,0.0002378117,0.002216094,-0.0021493885,-0.0001446661,0.001783332,0.45936,0.4824357,0.5006938,25.001835,25.26895,25.62177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.995651,2.005359,2.017529
Q2237+030,SIE,0.860066075,0.8613374,0.8624873,-0.003504662,-0.001900987,-0.0002542512,-0.0013600965,-0.000350926,0.000673179475,0.32773155,0.3317046,0.3362016,-67.1088375,-67.04196999999999,-66.97816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8859948,0.8870255499999999,0.8880946
QJ0158-4325,SIE,0.6118921,0.6147969,0.6177315,-0.00222722,-0.0001955918,0.00220406125,-0.002586066,-0.0002673807,0.001797566,0.05809287,0.06573224,0.07836421,-46.88701,-37.20424,-24.2077025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.612238975,0.6152220500000001,0.61838
RXJ0911+0551,SIE+shear,1.101292,1.104581,1.107994,-0.002607389,0.004452909,0.01088569,0.03710803,0.03846792,0.03967152,0.273659,0.28930085,0.3064309,28.9235,31.19896,33.83939,0.2985429,0.30437345,0.309773,-13.688665,-13.22797,-12.82042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.12447525,1.128542,1.133397
RXJ1131-1231,SIE,1.559878,1.560947,1.562173,0.4004179,0.4022322,0.4038513,-0.3441472,-0.3423278,-0.3401172,0.07787934,0.07907665,0.08024333,67.24888,67.34593,67.445215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.561807,1.562858,1.564042
SBS0909+523,SIS+shear,0.5082721,0.52060725,0.5342179,-0.001930853,-3.117523e-05,0.002509083,-0.002103773,-1.457673e-05,0.0018803395,0.0,0.0,0.0,0.0,0.0,0.0,0.1376807,0.15228435,0.1691414,-48.97695,-45.74919,-43.22136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5081721,0.52050705,0.5341178
SBS1520+530,SIE,0.7557546,0.76857745,0.77933445,-0.002858275,-0.0006177018,0.001537607,-0.001398757,0.0004853967,0.00267496,0.2786369,0.2928611,0.3129231,2.785358,8.3065,13.8370625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7750121,0.7852442,0.7945554
SDSS0246-0825,SIE,0.5751192,0.5776209,0.5800263,-0.002155236,-0.0001938859,0.001884161,-0.001884352,2.91393e-05,0.001984859,0.124379975,0.1344387,0.145188,-16.14849,-14.98408,-13.5970375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5776531,0.57987845,0.581979825
SDSS0903+5028,SIE,1.345783,1.37168,1.398917,-0.001655203,0.0004465318,0.0025294602499999,-0.0025283215,-0.0003092653,0.001833263,0.40931,0.4241106,0.4429047,-2.358742,1.545992,4.728972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.428747,1.447176,1.46876775
SDSS0924+0219,SIE+shear,0.8688599,0.8706157,0.872095,-0.00431038,-0.0001859236,0.00413669,-0.00166643425,0.0039862565,0.009451549,0.1178437,0.13716145,0.1720209,55.6689875,68.560195,77.39573,0.04916484,0.05844183,0.0677239075,-67.846665,-65.112935,-61.02074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8733705,0.8746367,0.8759376
SDSS1001+5027,SIE,1.373972,1.3881665,1.40149675,-0.0025466395,-0.0005178702,0.0019147724999999,-0.001826077,0.0002273525,0.0022136837499999,0.221228575,0.24177885,0.2655585,-12.84492,-9.764013,-6.502281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.397787,1.40771,1.41759725
